Service_ID,Officer_ID,HW_ID,Is_Completed,Transaction_ID,Service_Cost
SER1,OFF1,HW1,Yes,261371000000,220
SER2,OFF2,HW1,Yes,516589000000,140
SER3,OFF3,HW3,Yes,706211000000,280
SER4,OFF4,HW4,No,NULL,100
SER5,OFF5,HW5,No,NULL,140
SER6,OFF6,HW6,Yes,183570000000,110
SER7,OFF7,HW7,Yes,312656000000,170
SER8,OFF8,HW8,Yes,624888000000,300
SER9,OFF9,HW9,Yes,691930000000,370
SER10,OFF10,HW10,Yes,766618000000,280
SER11,OFF11,HW11,Yes,725492000000,380
SER12,OFF12,HW12,Yes,820046000000,380
SER13,OFF13,HW13,No,NULL,150
SER14,OFF14,HW14,Yes,582285000000,180
SER15,OFF15,HW15,No,NULL,130
SER16,OFF16,HW16,Yes,309803000000,170
SER17,OFF17,HW17,No,NULL,120
SER18,OFF18,HW1,No,NULL,240
SER19,OFF19,HW19,Yes,508567000000,210
SER20,OFF20,HW20,No,NULL,300
SER21,OFF21,HW21,Yes,714419000000,210
SER22,OFF22,HW22,Yes,196912000000,450
SER23,OFF23,HW23,Yes,629697000000,410
SER24,OFF24,HW24,Yes,799782000000,370